areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E92000001,England,nation,2021-07-07,35_39,2569,12903,345.6
E92000001,England,nation,2021-07-07,40_44,2092,10908,319.5
E92000001,England,nation,2021-07-07,45_49,1657,9145,246.1
E92000001,England,nation,2021-07-07,50_54,1359,7424,190.0
E92000001,England,nation,2021-07-07,55_59,930,5289,144.1
E92000001,England,nation,2021-07-07,60+,1491,8173,60.7
E92000001,England,nation,2021-07-07,60_64,606,3174,102.0
E92000001,England,nation,2021-07-07,65_69,333,1761,63.0
E92000001,England,nation,2021-07-07,70_74,226,1362,49.0
E92000001,England,nation,2021-07-07,75_79,147,851,43.9
E92000001,England,nation,2021-07-07,80_84,86,505,35.1
E92000001,England,nation,2021-07-07,85_89,54,320,36.4
E92000001,England,nation,2021-07-07,90+,39,200,38.7
E92000001,England,nation,2021-07-07,unassigned,16,73,
E92000001,England,nation,2021-07-06,00_04,552,3199,97.0
E92000001,England,nation,2021-07-06,00_59,29491,162737,380.0
E92000001,England,nation,2021-07-06,05_09,1688,9834,277.9
E92000001,England,nation,2021-07-06,10_14,3212,18561,553.4
E92000001,England,nation,2021-07-06,15_19,4128,23322,754.7
E92000001,England,nation,2021-07-06,20_24,5081,30125,863.7
E92000001,England,nation,2021-07-06,25_29,4024,20161,530.4
E92000001,England,nation,2021-07-06,30_34,2926,14720,386.6
E92000001,England,nation,2021-07-06,35_39,2281,11967,320.5
E92000001,England,nation,2021-07-06,40_44,1884,10275,300.9
E92000001,England,nation,2021-07-06,45_49,1585,8681,233.6
E92000001,England,nation,2021-07-06,50_54,1260,6912,176.9
E92000001,England,nation,2021-07-06,55_59,870,4980,135.7
E92000001,England,nation,2021-07-06,60+,1382,7616,56.6
E92000001,England,nation,2021-07-06,60_64,523,2931,94.2
E92000001,England,nation,2021-07-06,65_69,286,1632,58.4
E92000001,England,nation,2021-07-06,70_74,239,1287,46.3
E92000001,England,nation,2021-07-06,75_79,143,795,41.0
E92000001,England,nation,2021-07-06,80_84,86,487,33.8
E92000001,England,nation,2021-07-06,85_89,60,293,33.3
E92000001,England,nation,2021-07-06,90+,45,191,36.9
E92000001,England,nation,2021-07-06,unassigned,19,69,
E92000001,England,nation,2021-07-05,00_04,553,3109,94.2
E92000001,England,nation,2021-07-05,00_59,28112,154945,361.8
E92000001,England,nation,2021-07-05,05_09,1830,9508,268.7
E92000001,England,nation,2021-07-05,10_14,3447,17813,531.1
E92000001,England,nation,2021-07-05,15_19,3958,22326,722.5
E92000001,England,nation,2021-07-05,20_24,4789,29637,849.7
E92000001,England,nation,2021-07-05,25_29,3442,18758,493.4
E92000001,England,nation,2021-07-05,30_34,2653,13612,357.5
E92000001,England,nation,2021-07-05,35_39,2140,11152,298.7
E92000001,England,nation,2021-07-05,40_44,1763,9673,283.3
E92000001,England,nation,2021-07-05,45_49,1476,8150,219.3
E92000001,England,nation,2021-07-05,50_54,1217,6485,166.0
E92000001,England,nation,2021-07-05,55_59,844,4722,128.6
E92000001,England,nation,2021-07-05,60+,1327,7192,53.4
E92000001,England,nation,2021-07-05,60_64,514,2769,89.0
E92000001,England,nation,2021-07-05,65_69,292,1569,56.1
E92000001,England,nation,2021-07-05,70_74,226,1192,42.9
